code,ticker,name,name_jp,market,sector33,sector17,yf_sector,yf_industry,currency,price,book_value_per_share,pbr,market_cap,trailing_pe,forward_pe,roe,trailing_eps,total_revenue,operating_margins,profit_margins,total_cash,total_debt,dividend_yield,fetched_at
7214,7214.T,GMB Corporation,ＧＭＢ,スタンダード（内国株式）,輸送用機器,自動車・輸送機,Consumer Cyclical,Auto Parts,JPY,950.0,4365.542,0.2176133,5060557824,,,0.02605,-8.55,104793997312,0.01768,0.0037,7477000192,39722000384,4.21,2026-04-30
7291,7291.T,"Nihon Plast Co., Ltd.",日本プラスト,スタンダード（内国株式）,輸送用機器,自動車・輸送機,Consumer Cyclical,Auto Parts,JPY,418.0,1854.073,0.22544959,7891410432,21.111113,,0.00934,19.8,115099000832,0.01789,0.0027599998,12094999552,24966000640,4.81,2026-04-30
7822,7822.T,"Eidai Co.,Ltd.",永大産業,スタンダード（内国株式）,その他製品,情報通信・サービスその他,Consumer Cyclical,"Furnishings, Fixtures & Appliances",JPY,228.0,1009.613,0.22582911,10076547072,31.932774,,-0.00492,7.14,72741003264,0.02116,0.00612,7329999872,23630999552,4.37,2026-04-30
3600,3600.T,FUJIX Ltd.,フジックス,スタンダード（内国株式）,繊維製品,素材・化学,Consumer Cyclical,Textile Manufacturing,JPY,1632.0,6997.549,0.23322453,2246418688,,,-0.01107,-66.41,5535000064,-0.0215,-0.02023,2372999936,0,3.03,2026-04-30
6513,6513.T,"Origin Company, Limited",オリジン,スタンダード（内国株式）,電気機器,電機・精密,Technology,Semiconductor Equipment & Materials,JPY,1065.0,4399.691,0.24206246,5598177792,,,-0.04517,-183.95,27897999360,-0.0136,-0.047059998,6902000128,3028999936,3.31,2026-04-30
7702,7702.T,"JMS Co.,Ltd.",ＪＭＳ,スタンダード（内国株式）,精密機器,電機・精密,Healthcare,Medical Instruments & Supplies,JPY,427.0,1703.211,0.25070292,10474618880,66.5109,,-0.0075700004,6.42,66089000960,0.01235,-0.00339,10458999808,27149000704,3.86,2026-04-30
7201,7201.T,"Nissan Motor Co., Ltd.",日産自動車,プライム（内国株式）,輸送用機器,自動車・輸送機,Consumer Cyclical,Auto Manufacturers,JPY,354.6,1400.427,0.2532085,1239588536320,,-24.17178,-0.15938,-255.85,12067981492224,0.00585,-0.07675,2212081958912,9109853175808,,2026-04-30
3856,3856.T,Abalance Corporation,Ａｂａｌａｎｃｅ,スタンダード（内国株式）,電気機器,電機・精密,Technology,Software - Application,JPY,502.0,1963.099,0.25571814,9513227264,1.4105481,,,355.89,96555974656,0.11744001,0.01313,56196001792,52929998848,1.17,2026-04-30
2814,2814.T,"Sato Foods Industries Co., Ltd.",佐藤食品工業,スタンダード（内国株式）,食料品,食品,Consumer Defensive,Packaged Foods,JPY,3085.0,11947.956,0.25820315,11068612608,15.822947,,0.033800002,194.97,6627999744,0.10819,0.10018,8258999808,670000000,1.43,2026-04-30
7212,7212.T,F-Tech Inc.,エフテック,スタンダード（内国株式）,輸送用機器,自動車・輸送機,Consumer Cyclical,Auto Parts,JPY,743.0,2860.471,0.25974745,13799862272,,2.7754948,-0.071279995,-95.08,288169984000,0.029930001,-0.0099599995,16472000512,64823001088,2.69,2026-04-30
7957,7957.T,"Fujicopian Co., Ltd.",フジコピアン,スタンダード（内国株式）,その他製品,情報通信・サービスその他,Industrials,Business Equipment & Supplies,JPY,1392.0,5204.937,0.26743838,2130681472,,,-0.2915,-1764.59,8474999808,-0.01926,-0.31870002,2540999936,3355000064,2.82,2026-04-30
5446,5446.T,"HOKUETSU METAL Co., Ltd.",北越メタル,スタンダード（内国株式）,鉄鋼,鉄鋼・非鉄,Basic Materials,Steel,JPY,1251.0,4642.926,0.26944217,4825622528,12.452718,,0.0020299999,100.46,24427999232,-0.0308,0.00147,2124999936,2609999872,3.09,2026-04-30
9895,9895.T,Consec Corporation,コンセック,スタンダード（内国株式）,卸売業,商社・卸売,Industrials,Tools & Accessories,JPY,1250.0,4581.796,0.27281877,2198573824,,,-0.01714,-87.82,9712000000,0.02261,-0.01555,2088999936,1706000000,2.16,2026-04-30
9760,9760.T,"Shingakukai Holdings Co.,Ltd.",進学会ホールディングス,スタンダード（内国株式）,サービス業,情報通信・サービスその他,Industrials,Conglomerates,JPY,134.0,487.672,0.27477485,2230895616,,,-0.12769,-48.16,6924000256,-0.1146,-0.16248,3195000064,7703000064,1.67,2026-04-30
3422,3422.T,"J-MAX Co.,Ltd.",Ｊ－ＭＡＸ,スタンダード（内国株式）,金属製品,建設・資材,Consumer Cyclical,Auto Parts,JPY,423.0,1528.932,0.27666372,4856002560,,2.3966005,-0.07713,-137.46,49649999872,0.02807,-0.029930001,5479000064,24736999424,0.94,2026-04-30
7426,7426.T,Yamadai Corporation,山大,スタンダード（内国株式）,卸売業,商社・卸売,Basic Materials,Lumber & Wood Production,JPY,482.0,1713.12,0.281358,535424384,,,,-1224.37,4317000192,-0.08036,-0.31804,604000000,1388999936,6.36,2026-04-30
8181,8181.T,"Totenko Co., Ltd.",東天紅,スタンダード（内国株式）,小売業,小売,Consumer Cyclical,Restaurants,JPY,1025.0,3640.123,0.28158388,2632382464,4.257175,,-0.01365,240.77,7086319104,-0.00624,-0.01818,553145024,1730892032,1.46,2026-04-30
7524,7524.T,Marche Corporation,マルシェ,スタンダード（内国株式）,小売業,小売,Consumer Cyclical,Restaurants,JPY,164.0,574.444,0.28549346,1644678400,57.54386,,0.04933,2.85,13500999680,0.02574,0.017549999,2618383104,690284992,,2026-04-30
5410,5410.T,"Godo Steel, Ltd.",合同製鐵,プライム（内国株式）,鉄鋼,鉄鋼・非鉄,Basic Materials,Steel,JPY,2833.0,9832.453,0.28812748,41429782528,5.144829,,0.05781,550.65,191772000256,0.03959,0.04198,26503999488,54319001600,3.41,2026-04-30
7219,7219.T,"HKS Co., Ltd.",エッチ・ケー・エス,スタンダード（内国株式）,輸送用機器,自動車・輸送機,Consumer Cyclical,Auto Parts,JPY,2259.0,7731.995,0.29216263,3196259072,7.7154274,,0.03879,292.79,9184000000,0.06576,0.04508,2503000064,604000000,2.91,2026-04-30
3944,3944.T,"Furubayashi Shiko Co.,Ltd.",古林紙工,スタンダード（内国株式）,パルプ・紙,素材・化学,Consumer Cyclical,Packaging & Containers,JPY,2338.0,7963.109,0.29360393,2593821696,8.20207,,0.0584,285.05,18733000704,0.0324,0.031170001,1500999936,2711000064,2.13,2026-04-30
8383,8383.T,"The Tottori Bank, Ltd.",鳥取銀行,スタンダード（内国株式）,銀行業,銀行,Financial Services,Banks - Regional,JPY,1590.0,5409.483,0.29392827,14881404928,10.710677,,0.03541,148.45,14234000384,0.26697,0.12358,85765996544,24064000000,3.08,2026-04-30
8537,8537.T,"The Taiko Bank,Ltd.",大光銀行,スタンダード（内国株式）,銀行業,銀行,Financial Services,Banks - Regional,JPY,2506.0,8503.945,0.29468673,23882004480,11.04354,,0.03246,226.92,20656001024,0.12696,0.12316,195070001152,113479999488,4.27,2026-04-30
5603,5603.T,Kogi Corporation,虹技,スタンダード（内国株式）,鉄鋼,鉄鋼・非鉄,Industrials,Metal Fabrication,JPY,1333.0,4514.532,0.29526868,4375300608,4.8580484,,0.03432,274.39,25897000960,0.01307,0.01938,2492000000,9626000384,3.69,2026-04-30
6899,6899.T,Asti Corporation,ＡＳＴＩ,スタンダード（内国株式）,電気機器,電機・精密,Technology,Electronic Components,JPY,2371.0,7994.341,0.2965848,7411060736,8.198762,,0.01748,289.19,62708998144,0.02315,0.0069199996,5769999872,13100000256,4.45,2026-04-30
6467,6467.T,Nichidai Corporation,ニチダイ,スタンダード（内国株式）,機械,機械,Industrials,Specialty Industrial Machinery,JPY,345.0,1154.526,0.29882392,3115837952,,3.631579,-0.03408,-33.01,11139999744,-0.028250001,-0.0342,1828999936,1288999936,1.16,2026-04-30
5408,5408.T,"Nakayama Steel Works, Ltd.",中山製鋼所,プライム（内国株式）,鉄鋼,鉄鋼・非鉄,Basic Materials,Steel,JPY,593.0,1979.047,0.29963917,32149788672,7.662489,,0.02656,77.39,149384003584,0.00803,0.0,23793999872,8650000384,1.65,2026-04-30
4102,4102.T,"Maruo Calcium Co., Ltd.",丸尾カルシウム,スタンダード（内国株式）,化学,素材・化学,Basic Materials,Chemicals,JPY,1414.0,4709.173,0.30026504,3015261696,18.808193,,0.02211,75.18,12254999552,0.023710001,0.01591,2016000000,2564999936,2.08,2026-04-30
7983,7983.T,Miroku Corporation,ミロク,スタンダード（内国株式）,その他製品,情報通信・サービスその他,Industrials,Tools & Accessories,JPY,1122.0,3732.218,0.30062553,3294254848,,,-0.21365999,-856.11,12092999680,-0.01538,-0.21359,1560000000,7459999744,0.87,2026-04-30
8944,8944.T,"Land Business Co.,Ltd.",ランドビジネス,スタンダード（内国株式）,不動産業,不動産,Real Estate,Real Estate Services,JPY,238.0,790.684,0.30100518,4723375616,,,-0.01603,-18.07,18339999744,-0.16487,-0.01385,5311000064,32905000960,2.55,2026-04-30
5380,5380.T,Shinto Company Limited,新東,スタンダード（内国株式）,ガラス・土石製品,建設・資材,Industrials,Building Products & Equipment,JPY,1409.0,4677.068,0.30125713,996923840,112.092285,,0.03866,12.57,8926999552,-0.04355,0.01434,370000000,3003000064,2.66,2026-04-30
9355,9355.T,Rinko Corporation,リンコーコーポレーション,スタンダード（内国株式）,倉庫・運輸関連業,運輸・物流,Industrials,Integrated Freight & Logistics,JPY,2181.0,7234.685,0.3014644,5689452544,7.62161,,0.03812,286.16,13772999680,0.0654,0.05126,1071000000,9635999744,2.48,2026-04-30
7255,7255.T,Sakurai Ltd.,桜井製作所,スタンダード（内国株式）,輸送用機器,自動車・輸送機,Consumer Cyclical,Auto Parts,JPY,449.0,1484.843,0.30238888,1491381760,4.006067,,0.06925,112.08,4985999872,-0.01455,0.06679,1407000064,1428999936,1.14,2026-04-30
3551,3551.T,Dynic Corporation,ダイニック,スタンダード（内国株式）,繊維製品,素材・化学,Industrials,Specialty Business Services,JPY,1036.0,3425.242,0.30246037,8491576320,5.2083855,,0.080340005,198.91,44330000384,0.0674,0.049239997,5329999872,18505000960,3.3,2026-04-30
6943,6943.T,"NKK Switches Co., Ltd.",ＮＫＫスイッチズ,スタンダード（内国株式）,電気機器,電機・精密,Industrials,Electrical Equipment & Parts,JPY,4890.0,16152.303,0.3027432,4023252480,,,-0.009430001,-515.29,8029000192,0.09401,-0.015570001,4204999936,0,1.64,2026-04-30
7247,7247.T,Mikuni Corporation,ミクニ,スタンダード（内国株式）,輸送用機器,自動車・輸送機,Consumer Cyclical,Auto Parts,JPY,357.0,1177.507,0.30318293,12004027392,4.244442,7.986577,0.08535,84.11,101445001216,0.04157,0.03302,3920000000,44529999872,4.52,2026-04-30
7879,7879.T,Noda Corporation,ノダ,スタンダード（内国株式）,その他製品,情報通信・サービスその他,Industrials,Building Products & Equipment,JPY,674.0,2214.477,0.3043608,10551883776,,,-0.02084,-52.98,63997001728,-0.01759,-0.01472,19146000384,14325999616,4.41,2026-04-30
8144,8144.T,"Denkyo Group Holdings Co.,Ltd.",デンキョーグループホールディングス,スタンダード（内国株式）,卸売業,商社・卸売,Technology,Consumer Electronics,JPY,1332.0,4344.114,0.3066218,8370964480,20.304878,,0.01395,65.6,52797001728,0.02928,0.00712,4634999808,2241999872,2.99,2026-04-30
9501,9501.T,"Tokyo Electric Power Company Holdings, Incorporated",東京電力ホールディングス,プライム（内国株式）,電気・ガス業,電力・ガス,Utilities,Utilities - Renewable,JPY,592.2,1930.935,0.30669078,948884013056,,2.7939234,-0.21519,-462.3,6459248082944,0.02829,-0.11527,781821018112,6591843139584,,2026-04-30
5918,5918.T,"The Takigami Steel Construction Co., Ltd.",瀧上工業,スタンダード（内国株式）,金属製品,建設・資材,Industrials,Engineering & Construction,JPY,7100.0,23072.344,0.30772772,14654200832,25.814426,,0.01962,275.04,23147999232,0.0467,0.03892,5402999808,5916000256,1.39,2026-04-30
3396,3396.T,Felissimo Corporation,フェリシモ,スタンダード（内国株式）,小売業,小売,Consumer Cyclical,Internet Retail,JPY,852.0,2758.97,0.3088109,6068443136,16.90141,,0.0184,50.41,29179000832,0.00236,0.01227,10060000256,4000000,2.93,2026-04-30
4679,4679.T,"TAYA Co.,Ltd.",田谷,スタンダード（内国株式）,サービス業,情報通信・サービスその他,Consumer Cyclical,Personal Services,JPY,275.0,883.284,0.31133816,1987439872,,,0.00265,-0.17,12739426304,0.0585,0.00093999994,1755544064,1905522944,,2026-04-30
8166,8166.T,"Taka-Q Co., Ltd.",タカキュー,スタンダード（内国株式）,小売業,小売,Consumer Cyclical,Apparel Manufacturing,JPY,77.0,245.252,0.3139628,2592196096,6.3531356,,0.099580005,12.12,22045304832,0.08993,0.02579,2336423936,585729984,,2026-04-30
5658,5658.T,"Nichia Steel Works, Ltd.",日亜鋼業,スタンダード（内国株式）,鉄鋼,鉄鋼・非鉄,Industrials,Tools & Accessories,JPY,368.0,1170.469,0.3144039,16536963072,30.23829,,0.01638,12.17,33696000000,0.05651,0.02466,12695000064,2430000128,2.65,2026-04-30
5900,5900.T,"Daiken Co.,Ltd.",ダイケン,スタンダード（内国株式）,金属製品,建設・資材,Industrials,Building Products & Equipment,JPY,785.0,2495.902,0.31451553,4304460288,14.537037,,0.02201,54.0,11566999552,0.06553,0.02559,3316000000,0,3.18,2026-04-30
3863,3863.T,"Nippon Paper Industries Co., Ltd.",日本製紙,プライム（内国株式）,パルプ・紙,素材・化学,Basic Materials,Paper & Paper Products,JPY,1323.0,4199.804,0.3150147,152848678912,8.651017,10.969239,0.02888,152.93,1185680064512,0.02009,0.010319999,176354000896,863073992704,1.18,2026-04-30
8542,8542.T,"Tomato Bank, Ltd.",トマト銀行,スタンダード（内国株式）,銀行業,銀行,Financial Services,Banks - Regional,JPY,1563.0,4950.424,0.31573054,18042105856,17.1796,,0.03641,90.98,22249000960,0.20635,0.09277,88666996736,40064999424,3.15,2026-04-30
4539,4539.T,"Nippon Chemiphar Co., Ltd.",日本ケミファ,スタンダード（内国株式）,医薬品,医薬品,Healthcare,Drug Manufacturers - Specialty & Generic,JPY,1683.0,5327.352,0.3159168,6102527488,12.089648,,0.028889999,139.21,32519999488,0.010089999,0.01676,7005000192,17660999680,2.93,2026-04-30
9036,9036.T,"Tohbu Network Co., Ltd.",東部ネットワーク,スタンダード（内国株式）,陸運業,運輸・物流,Industrials,Integrated Freight & Logistics,JPY,1201.0,3765.169,0.3189764,6667823616,18.349886,,0.013250001,65.45,10140000256,0.01329,0.025940001,4422000128,727000000,1.24,2026-04-30
7150,7150.T,"The Shimane Bank,Ltd.",島根銀行,スタンダード（内国株式）,銀行業,銀行,Financial Services,Banks - Regional,JPY,515.0,1614.065,0.3190702,4234061568,27.349974,,0.02908,18.83,9278000128,0.052020002,0.04861,25776001024,20148000768,1.89,2026-04-30
7490,7490.T,"Nissin Shoji Co.,Ltd.",日新商事,スタンダード（内国株式）,卸売業,商社・卸売,Industrials,Conglomerates,JPY,1261.0,3950.756,0.31917942,8418995712,26.665257,,0.18368,47.29,39998001152,0.00827,0.116730005,8986000384,9294000128,1.67,2026-04-30
7399,7399.T,"Nansin Co., Ltd.",ナンシン,スタンダード（内国株式）,輸送用機器,自動車・輸送機,Industrials,Tools & Accessories,JPY,574.0,1791.086,0.32047594,3826303488,15.347593,,0.033940002,37.4,9825999872,0.03901,0.040710002,3552999936,263000000,3.46,2026-04-30
3434,3434.T,ALPHA Corporation,アルファＣｏ,スタンダード（内国株式）,金属製品,建設・資材,Consumer Cyclical,Auto Parts,JPY,1219.0,3801.281,0.32068136,11716092928,,,0.01135,-19.59,70991003648,0.0176,0.0083099995,11233999872,19445999616,4.11,2026-04-30
5973,5973.T,Toami Corporation,トーアミ,スタンダード（内国株式）,金属製品,建設・資材,Basic Materials,Steel,JPY,615.0,1916.986,0.32081613,3486167552,27.677769,,0.012259999,22.22,18599000064,0.015859999,0.0068300003,1820000000,5077000192,2.58,2026-04-30
3958,3958.T,"Sasatoku Printing Co.,Ltd.",笹徳印刷,スタンダード（内国株式）,パルプ・紙,素材・化学,Industrials,Specialty Business Services,JPY,560.0,1745.519,0.32082146,3061695744,13.014176,,0.02542,43.03,12325999616,0.03085,0.01947,1021000000,876000000,3.21,2026-04-30
8617,8617.T,"The Kosei Securities Co., Ltd.",光世証券,スタンダード（内国株式）,証券、商品先物取引業,金融（除く銀行）,Financial Services,Capital Markets,JPY,554.0,1720.915,0.32192177,5235059712,24.854193,,0.01313,22.29,1057000000,0.21866,0.19868,10490999808,0,1.85,2026-04-30
6619,6619.T,W-SCOPE Corporation,ダブル・スコープ,プライム（内国株式）,電気機器,電機・精密,Industrials,Electrical Equipment & Parts,JPY,229.0,709.103,0.3229432,13814397952,,3.8352036,-0.27515,-225.88,3630000128,-0.62821,0.0,271000000,8144999936,,2026-04-30
4615,4615.T,"Shinto Paint Company, Limited",神東塗料,スタンダード（内国株式）,化学,素材・化学,Basic Materials,Specialty Chemicals,JPY,128.0,396.127,0.32312867,4356748288,,,-0.015420001,-5.79,21325000704,0.02713,-0.01749,2972000000,5098999808,,2026-04-30
4234,4234.T,"Sun A.Kaken Company,Limited",サンエー化研,スタンダード（内国株式）,化学,素材・化学,Basic Materials,Specialty Chemicals,JPY,728.0,2251.797,0.32329732,7012319744,13.735849,9.745649,0.01689,53.0,30130999296,0.02882,0.0135699995,6470000128,4517000192,2.48,2026-04-30
7916,7916.T,"Mitsumura Printing Co., Ltd.",光村印刷,スタンダード（内国株式）,その他製品,情報通信・サービスその他,Industrials,Specialty Business Services,JPY,1962.0,6007.576,0.32658762,6010127872,11.062246,,0.015700001,177.36,14202000384,0.02554,0.020350002,6368000000,2518000128,2.55,2026-04-30
8025,8025.T,"Tsukamoto Corporation Co., Ltd.",ツカモトコーポレーション,スタンダード（内国株式）,卸売業,商社・卸売,Consumer Cyclical,Apparel Retail,JPY,1253.0,3829.795,0.32717156,5055455232,,,-0.01509,-60.9,10204000256,-0.01966,-0.021659998,1915000064,8130999808,2.32,2026-04-30
3204,3204.T,Toabo Corporation,トーア紡コーポレーション,スタンダード（内国株式）,繊維製品,素材・化学,Industrials,Conglomerates,JPY,518.0,1583.011,0.32722452,4572601856,6.952087,,0.047659997,74.51,17471000576,0.0146200005,0.037550002,1972999936,11653000192,2.86,2026-04-30
7266,7266.T,"Imasen Electric Industrial Co., Ltd.",今仙電機製作所,スタンダード（内国株式）,輸送用機器,自動車・輸送機,Consumer Cyclical,Auto Parts,JPY,835.0,2542.987,0.328354,17737027584,14.401518,,0.03924,57.98,87901003776,0.03797,0.023139998,15699000320,2424999936,3.46,2026-04-30
7928,7928.T,"Asahi Kagaku Kogyo Co.,Ltd.",旭化学工業,スタンダード（内国株式）,化学,素材・化学,Industrials,Tools & Accessories,JPY,604.0,1836.954,0.32880518,1835719680,25.282545,,0.013409999,23.89,8424000000,0.00992,0.00878,1870000000,0,1.64,2026-04-30
8247,8247.T,"Daiwa Co.,Ltd.",大和,スタンダード（内国株式）,小売業,小売,Consumer Cyclical,Department Stores,JPY,319.0,969.04,0.32919177,1789177856,,,-0.21034999,-201.9,15982999552,-0.00161,-0.07083,2561999872,7565000192,,2026-04-30
6317,6317.T,Kitagawa Corporation,北川鉄工所,スタンダード（内国株式）,機械,機械,Industrials,Specialty Industrial Machinery,JPY,1549.0,4677.015,0.33119413,14331566080,4.4283714,3.6541638,0.064569995,349.79,57287000064,0.02833,0.04689,10766999552,14017999872,5.46,2026-04-30
8077,8077.T,TORQ Inc.,トルク,スタンダード（内国株式）,卸売業,商社・卸売,Industrials,Industrial Distribution,JPY,209.0,628.936,0.33230728,4717197824,5.2433515,,0.060879998,39.86,22027542528,0.02708,0.03665,3493952000,12674634752,2.83,2026-04-30
5204,5204.T,"Ishizuka Glass Co., Ltd.",石塚硝子,スタンダード（内国株式）,ガラス・土石製品,建設・資材,Consumer Cyclical,Packaging & Containers,JPY,2911.0,8742.914,0.33295536,12139289600,4.664466,,0.07271,624.08,59510001664,-0.00052,0.04399,2972999936,26930999296,2.47,2026-04-30
7277,7277.T,"TBK Co., Ltd.",ＴＢＫ,スタンダード（内国株式）,輸送用機器,自動車・輸送機,Consumer Cyclical,Auto Parts,JPY,359.0,1077.469,0.33318824,11404304384,33.05709,,0.0269,10.86,53070999552,0.03453,0.01343,6512000000,6942000128,2.17,2026-04-30
7985,7985.T,NEPON Inc.,ネポン,スタンダード（内国株式）,金属製品,建設・資材,Industrials,Specialty Industrial Machinery,JPY,843.0,2529.514,0.3332656,807169152,,,-0.08043,-353.63,7294000128,0.124,-0.027560001,473000000,2000999936,1.42,2026-04-30
9063,9063.T,"Okayamaken Freight Transportation Co., Ltd.",岡山県貨物運送,スタンダード（内国株式）,陸運業,運輸・物流,Industrials,Trucking,JPY,4270.0,12800.737,0.33357453,8653863936,7.5624743,,0.097950004,564.63,38599000064,0.03674,0.06239,9946000384,13658000384,1.62,2026-04-30
6464,6464.T,"Tsubaki Nakashima Co., Ltd.",ツバキ・ナカシマ,プライム（内国株式）,機械,機械,Industrials,Tools & Accessories,JPY,325.0,968.161,0.33568797,12432206848,,2.933213,-0.54815,-691.69,69836996608,-0.50067,-0.38968,34632998912,94958002176,7.04,2026-04-30
6155,6155.T,"Takamatsu Machinery Co., Ltd.",高松機械工業,スタンダード（内国株式）,機械,機械,Industrials,Specialty Industrial Machinery,JPY,493.0,1465.227,0.3364666,5320208896,,,-0.00936,-12.2,12926000128,-0.015470001,-0.01145,5584999936,1270000000,2.01,2026-04-30
5986,5986.T,"Molitec Steel Co., Ltd.",モリテック　スチール,スタンダード（内国株式）,金属製品,建設・資材,Basic Materials,Steel,JPY,231.0,682.638,0.33839312,5175386624,14.285714,,0.039809998,16.17,48765001728,0.0187,0.01202,5923999744,5217999872,1.71,2026-04-30
7997,7997.T,Kurogane Kosakusho Ltd.,くろがね工作所,スタンダード（内国株式）,その他製品,情報通信・サービスその他,Consumer Cyclical,"Furnishings, Fixtures & Appliances",JPY,958.0,2821.168,0.33957568,1599062016,4.030121,,0.08448,237.71,6449999872,-0.07468,0.05984,1514000000,1058000000,2.08,2026-04-30
3439,3439.T,Mitsuchi Corporation,三ツ知,スタンダード（内国株式）,金属製品,建設・資材,Consumer Cyclical,Auto Parts,JPY,730.0,2140.325,0.3410697,3413766144,103.693184,,0.0025,7.04,12293000192,0.00681,0.0020299999,4695000064,3140999936,2.75,2026-04-30
7372,7372.T,Decollte Holdings Corporation,デコルテ・ホールディングス,グロース（内国株式）,サービス業,情報通信・サービスその他,Consumer Cyclical,Personal Services,JPY,351.0,1027.214,0.34170094,1799738752,12.354805,9.971591,0.03302,28.41,6159000064,0.23371,0.02776,747000000,5600000000,,2026-04-30
8281,8281.T,"Xebio Holdings Co., Ltd.",ゼビオホールディングス,プライム（内国株式）,小売業,小売,Consumer Cyclical,Specialty Retail,JPY,993.0,2904.402,0.3418948,41092419584,,8.702892,-0.01811,-19.48,251147993088,0.00681,-0.0083099995,14081000448,6402999808,3.5,2026-04-30
8123,8123.T,"T.Kawabe & Co., Ltd.",川辺,スタンダード（内国株式）,卸売業,商社・卸売,Consumer Cyclical,Textile Manufacturing,JPY,1375.0,3988.978,0.34469983,2509069824,5.253104,,0.0496,261.75,13114999808,0.01933,0.026989998,1616999936,2307000064,3.67,2026-04-30
7264,7264.T,Muro Corporation,ムロコーポレーション,スタンダード（内国株式）,輸送用機器,自動車・輸送機,Consumer Cyclical,Auto Parts,JPY,1268.0,3674.613,0.34507036,7661251072,37.3931,,0.01418,33.91,22969999360,0.05747,0.01358,9342000128,1924000000,3.62,2026-04-30
7294,7294.T,Yorozu Corporation,ヨロズ,プライム（内国株式）,輸送用機器,自動車・輸送機,Consumer Cyclical,Auto Parts,JPY,850.0,2459.654,0.34557706,17506240512,,5.3158226,-0.1275,-439.04,171007000576,0.00866,-0.04441,21653000192,35706998784,3.63,2026-04-30
5994,5994.T,"Fine Sinter Co., Ltd.",ファインシンター,スタンダード（内国株式）,金属製品,建設・資材,Industrials,Metal Fabrication,JPY,1417.0,4099.895,0.3456186,6066067968,3.2204545,,0.094849996,440.0,46009999360,0.02247,0.035380002,7301000192,19534000128,1.04,2026-04-30
2790,2790.T,"NAFCO Co., Ltd.",ナフコ,スタンダード（内国株式）,小売業,小売,Consumer Cyclical,Home Improvement Retail,JPY,2174.0,6268.093,0.34683597,53442736128,80.07367,,0.00357,27.15,175238004736,0.02585,0.00319,18876999680,18061000704,2.67,2026-04-30
